iyear,country_txt,success,suicide,attack_type,targtype,group_terror,weapon_type,nkill,month
2011,United Kingdom,WAAR,ONWAAR,Armed Assault,Private Citizens & Property,Unknown,Firearms,0,2
2011,Greece,ONWAAR,ONWAAR,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,0,2
2011,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,2
2011,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,2
2011,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,0,2
2011,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Real Irish Republican Army (RIRA),Explosives/Bombs/Dynamite,0,2
2011,Netherlands,WAAR,ONWAAR,Facility/Infrastructure Attack,Government (Diplomatic),Unknown,Incendiary,0,2
2011,Italy,ONWAAR,ONWAAR,Bombing/Explosion,Business,Anarchists,Explosives/Bombs/Dynamite,0,2
2011,France,WAAR,ONWAAR,Bombing/Explosion,Business,Corsican National Liberation Front (FLNC),Explosives/Bombs/Dynamite,0,2
2011,France,WAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,2
2011,United Kingdom,WAAR,ONWAAR,Unarmed Assault,Private Citizens & Property,Unknown,Melee,0,2
2011,United Kingdom,ONWAAR,ONWAAR,Armed Assault,Police,Unknown,Firearms,0,3
2011,Germany,WAAR,ONWAAR,Armed Assault,Military,Unaffiliated Individual(s),Firearms,2,3
2011,United Kingdom,WAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
2011,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
2011,Greece,ONWAAR,ONWAAR,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite,0,3
2011,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Government (General),Real Irish Republican Army (RIRA),Explosives/Bombs/Dynamite,0,3
2011,United Kingdom,ONWAAR,ONWAAR,Armed Assault,Unknown,Unknown,Firearms,0,3
2011,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite,0,3
