iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
2011,United Kingdom,WAAR,ONWAAR,Armed Assault,Private property,Northern Ireland,Unknown,Firearms,0,2011-02-02,2
2011,Greece,ONWAAR,ONWAAR,Explosion,Government,Greece,Unknown,Bombs,0,2011-02-02,2
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Private property,Northern Ireland,Unknown,Bombs,0,2011-02-03,2
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Private property,Northern Ireland,Unknown,Bombs,0,2011-02-03,2
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Government,Northern Ireland,Unknown,Bombs,0,2011-02-10,2
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Private property,Northern Ireland,Real Irish Republican Army (RIRA),Bombs,0,2011-02-16,2
2011,Netherlands,WAAR,ONWAAR,Facility Attack,Government,Libya,Unknown,Incendiary,0,2011-02-20,2
2011,Italy,ONWAAR,ONWAAR,Explosion,Private property,Italy,Anarchists,Bombs,0,2011-02-21,2
2011,France,WAAR,ONWAAR,Explosion,Private property,France,Unknown,Bombs,0,2011-02-23,2
2011,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican National Liberation Front (FLNC),Bombs,0,2011-02-22,2
2011,United Kingdom,WAAR,ONWAAR,Unarmed Assault,Private property,Northern Ireland,Unknown,Melee,0,2011-02-28,2
2011,United Kingdom,ONWAAR,ONWAAR,Armed Assault,Government,Northern Ireland,Unknown,Firearms,0,2011-03-02,3
2011,Germany,WAAR,ONWAAR,Armed Assault,Government,United States,Unaffiliated Individual(s),Firearms,2,2011-03-02,3
2011,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Northern Ireland,Unknown,Bombs,0,2011-03-11,3
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Private property,Northern Ireland,Unknown,Bombs,0,2011-03-19,3
2011,Greece,ONWAAR,ONWAAR,Explosion,Government,Greece,Unknown,Bombs,0,2011-03-23,3
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Government,Northern Ireland,Real Irish Republican Army (RIRA),Bombs,0,2011-03-28,3
2011,United Kingdom,ONWAAR,ONWAAR,Armed Assault,Public services,Northern Ireland,Unknown,Firearms,0,2011-03-28,3
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Public services,Northern Ireland,Unknown,Bombs,0,2011-03-28,3
2011,Ireland,WAAR,ONWAAR,Explosion,Public services,Ireland,Unknown,Bombs,0,2011-03-29,3
2011,Greece,ONWAAR,ONWAAR,Explosion,Government,Greece,Unknown,Bombs,0,2011-03-31,3
2011,Italy,WAAR,ONWAAR,Explosion,Government,Italy,Informal Anarchist Federation,Bombs,0,2011-03-31,3
2011,Switzerland,WAAR,ONWAAR,Explosion,Private property,Switzerland,Informal Anarchist Federation,Bombs,0,2011-03-31,3
2011,United Kingdom,WAAR,ONWAAR,Explosion,Government,Northern Ireland,Oglaigh na hEireann,Bombs,1,2011-04-02,4
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Public services,Northern Ireland,Unknown,Bombs,0,2011-04-08,4
2011,France,WAAR,ONWAAR,Armed Assault,Government,France,Basque Fatherland and Freedom (ETA),Firearms,0,2011-04-09,4
2011,United Kingdom,WAAR,ONWAAR,Facility Attack,Private property,Northern Ireland,Unknown,Incendiary,0,2011-04-14,4
2011,Greece,WAAR,ONWAAR,Facility Attack,Hate crimes,Greece,Unknown,Incendiary,0,2011-04-19,4
2011,United Kingdom,WAAR,ONWAAR,Explosion,Government,Northern Ireland,Unknown,Bombs,0,2011-04-20,4
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Private property,Northern Ireland,Unknown,Bombs,0,2011-04-23,4
2011,United Kingdom,ONWAAR,ONWAAR,Explosion,Government,Northern Ireland,Unknown,Bombs,0,2011-05-09,5
2011,Greece,WAAR,ONWAAR,Facility Attack,Government,Greece,Unknown,Incendiary,0,2011-05-14,5
2011,Ireland,ONWAAR,ONWAAR,Explosion,Public services,Ireland,Unknown,Bombs,0,2011-05-16,5
2011,United Kingdom,WAAR,ONWAAR,Facility Attack,Private property,Northern Ireland,Unknown,Incendiary,0,2011-05-17,5
2011,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Spain,Irish Republican Army (IRA),Bombs,0,2011-05-21,5
