iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Basque Fatherland and Freedom (ETA),Firearms,1,1980-01-25,1
1980,Italy,WAAR,ONWAAR,Facility Attack,Government,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Facility Attack,Government,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Facility Attack,Government,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Northern Ireland,Irish Republican Army (IRA),Firearms,1,1971-09-03,9
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Facility Attack,Government,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Facility Attack,Government,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Facility Attack,Government,Italy,Autonomy (Italy),Incendiary,0,1980-01-26,1
1980,Spain,WAAR,ONWAAR,Explosion,Private property,Spain,Spanish Basque Battalion (BBE) (rightist),Bombs,0,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Armed Assault,Public services,Italy,Autonomy (Italy),Firearms,,1980-01-26,1
1980,Italy,WAAR,ONWAAR,Armed Assault,Public services,Italy,Autonomy (Italy),Firearms,,1980-01-26,1
1971,United Kingdom,ONWAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-09-03,9
1980,Italy,WAAR,ONWAAR,Armed Assault,Public services,Italy,Autonomy (Italy),Firearms,,1980-01-26,1
1980,United Kingdom,WAAR,ONWAAR,Barricade,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1980-01-26,1
1980,United Kingdom,WAAR,ONWAAR,Armed Assault,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1980-01-26,1
1980,Spain,WAAR,ONWAAR,Armed Assault,Government,Spain,Basque Fatherland and Freedom (ETA),Firearms,1,1980-01-27,1
1971,United Kingdom,WAAR,ONWAAR,Explosion,Government,Great Britain,Official Irish Republican Army (OIRA),Bombs,1,1971-09-04,9
1980,Spain,ONWAAR,ONWAAR,Assassination,Government,Spain,Catalonian Resistance,Firearms,0,1980-01-28,1
1980,France,WAAR,ONWAAR,Explosion,Government,Syria,Unknown,Bombs,1,1980-01-29,1
