iyear,country_txt,success,suicide,attack_type,targtype,group_terror,weapon_type,nkill,month
1980,Spain,WAAR,ONWAAR,Assassination,Private Citizens & Property,Basque Fatherland and Freedom (ETA),Firearms,1,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Police,Autonomy (Italy),Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Police,Autonomy (Italy),Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Business,Autonomy (Italy),Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Government (General),Autonomy (Italy),Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Business,Autonomy (Italy),Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Government (General),Autonomy (Italy),Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Government (General),Autonomy (Italy),Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Government (General),Autonomy (Italy),Incendiary,0,1
1980,Spain,WAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Spanish Basque Battalion (BBE) (rightist),Explosives/Bombs/Dynamite,0,1
1980,Italy,WAAR,ONWAAR,Armed Assault,Transportation,Autonomy (Italy),Firearms,,1
1980,Italy,WAAR,ONWAAR,Armed Assault,Transportation,Autonomy (Italy),Firearms,,1
1980,Italy,WAAR,ONWAAR,Armed Assault,Transportation,Autonomy (Italy),Firearms,,1
1980,United Kingdom,WAAR,ONWAAR,Hostage Taking (Barricade Incident),Military,Irish Republican Army (IRA),Firearms,1,1
1980,United Kingdom,WAAR,ONWAAR,Armed Assault,Military,Irish Republican Army (IRA),Firearms,1,1
1980,Spain,WAAR,ONWAAR,Armed Assault,Police,Basque Fatherland and Freedom (ETA),Firearms,1,1
1980,Spain,ONWAAR,ONWAAR,Assassination,Police,Catalonian Resistance,Firearms,0,1
1980,France,WAAR,ONWAAR,Bombing/Explosion,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,1,1
1980,France,WAAR,ONWAAR,Bombing/Explosion,Government (Diplomatic),Front for the Liberation of Lebanon from Foreigners,Explosives/Bombs/Dynamite,1,1
1980,Spain,WAAR,ONWAAR,Bombing/Explosion,Business,Spanish Armed Group,Explosives/Bombs/Dynamite,0,1
1980,Italy,WAAR,ONWAAR,Assassination,Business,Red Brigades,Firearms,1,1
1980,France,WAAR,ONWAAR,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite,0,1
1980,Spain,WAAR,ONWAAR,Facility/Infrastructure Attack,Journalists & Media,Unknown,Incendiary,0,1
1980,Italy,WAAR,ONWAAR,Facility/Infrastructure Attack,Business,Communist Territorial Nuclei,Firearms,1,1
1980,United Kingdom,WAAR,ONWAAR,Facility/Infrastructure Attack,Business,Irish Republican Army (IRA),Incendiary,0,1
1980,France,WAAR,ONWAAR,Assassination,Government (General),Autonomous Revolutionary Brigade,Firearms,1,2
1980,United Kingdom,WAAR,ONWAAR,Assassination,Military,Irish Republican Army (IRA),Unknown,1,2
1980,Spain,WAAR,ONWAAR,Bombing/Explosion,Police,Basque Fatherland and Freedom (ETA),Explosives/Bombs/Dynamite,6,2
1980,Belgium,WAAR,ONWAAR,Bombing/Explosion,Airports & Aircraft,Justice Commandos for the Armenian Genocide,Explosives/Bombs/Dynamite,0,2
1980,Belgium,WAAR,ONWAAR,Bombing/Explosion,Airports & Aircraft,Justice Commandos for the Armenian Genocide,Explosives/Bombs/Dynamite,0,2
1980,France,WAAR,ONWAAR,Bombing/Explosion,Government (Diplomatic),New Armenian Resistance,Explosives/Bombs/Dynamite,0,2
1980,United Kingdom,WAAR,ONWAAR,Armed Assault,Private Citizens & Property,Ulster Volunteer Force (UVF),Firearms,1,2
1980,United Kingdom,WAAR,ONWAAR,Armed Assault,Unknown,Irish Republican Army (IRA),Firearms,1,2
1980,United Kingdom,WAAR,ONWAAR,Assassination,Military,Irish Republican Army (IRA),Firearms,1,2
1980,Spain,WAAR,ONWAAR,Assassination,Business,Unknown,Firearms,2,2
1980,United Kingdom,WAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,0,2
1980,Spain,WAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,,2
1980,United Kingdom,WAAR,ONWAAR,Facility/Infrastructure Attack,Business,Irish Republican Army (IRA),Incendiary,0,2
1980,United Kingdom,WAAR,ONWAAR,Bombing/Explosion,Business,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,0,2
1980,Italy,WAAR,ONWAAR,Assassination,Business,Prima Linea,Firearms,1,2
1980,United Kingdom,WAAR,ONWAAR,Assassination,Military,Irish Republican Army (IRA),Firearms,1,2
1980,Spain,WAAR,ONWAAR,Bombing/Explosion,Business,East Timorese Activists,Firearms,0,2
1980,Italy,WAAR,ONWAAR,Assassination,Police,Prima Linea,Firearms,1,2
1980,Switzerland,ONWAAR,ONWAAR,Assassination,Government (Diplomatic),Justice Commandos for the Armenian Genocide,Firearms,0,2
1980,France,WAAR,ONWAAR,Unknown,Private Citizens & Property,Basque Fatherland and Freedom (ETA),Unknown,,2
1980,Spain,WAAR,ONWAAR,Assassination,Military,Basque Fatherland and Freedom (ETA),Firearms,1,2
1980,Spain,WAAR,ONWAAR,Assassination,Police,Basque Fatherland and Freedom (ETA),Unknown,1,2
1980,Spain,WAAR,ONWAAR,Armed Assault,Government (General),Basque Fatherland and Freedom (ETA),Firearms,0,2
1980,United Kingdom,WAAR,ONWAAR,Hostage Taking (Kidnapping),Business,Irish Republican Army (IRA),Unknown,1,2
1980,Spain,WAAR,ONWAAR,Assassination,Police,Basque Fatherland and Freedom (ETA),Unknown,1,2
1980,Spain,WAAR,ONWAAR,Assassination,Private Citizens & Property,Fuerza Nueva,Firearms,1,2
1980,United Kingdom,WAAR,ONWAAR,Bombing/Explosion,Police,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,2,2
1980,Italy,WAAR,ONWAAR,Assassination,Educational Institution,Red Brigades,Firearms,1,2
1980,Spain,ONWAAR,ONWAAR,Assassination,Military,Basque Fatherland and Freedom (ETA),Firearms,0,2
1980,United Kingdom,WAAR,ONWAAR,Assassination,Private Citizens & Property,Protestant Extremists,Firearms,1,2
1980,United Kingdom,WAAR,ONWAAR,Facility/Infrastructure Attack,Business,Irish Republican Army (IRA),Incendiary,0,2
1980,United Kingdom,ONWAAR,ONWAAR,Bombing/Explosion,Private Citizens & Property,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,0,2
1980,United Kingdom,WAAR,ONWAAR,Bombing/Explosion,Business,Irish Republican Army (IRA),Explosives/Bombs/Dynamite,0,2
1980,United Kingdom,ONWAAR,ONWAAR,Assassination,Military,Irish Republican Army (IRA),Firearms,0,2
1980,United Kingdom,WAAR,ONWAAR,Facility/Infrastructure Attack,Business,Lybyan-Backed Group against opponents of Qadaffi,Incendiary,0,2
