iyear;country_txt;success;suicide;attack_type;targtype;group_terror;weapon_type;nkill;month
1986;Sweden;WAAR;ONWAAR;Armed Assault;Government (General);Unknown;Firearms;1;2
1985;West Germany (FRG);ONWAAR;ONWAAR;Bombing/Explosion;Military;Unknown;Explosives/Bombs/Dynamite;0;1
1985;France;WAAR;ONWAAR;Unknown;Police;Unknown;Unknown;1;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Unknown;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Police;Unknown;Unknown;0;1
1985;France;WAAR;ONWAAR;Unknown;Police;Unknown;Unknown;0;1
1985;West Germany (FRG);WAAR;ONWAAR;Facility/Infrastructure Attack;Government (Diplomatic);Red Army Faction (RAF);Incendiary;0;1
1985;Spain;WAAR;ONWAAR;Assassination;Violent Political Party;Basque Fatherland and Freedom (ETA);Firearms;1;1
1985;West Germany (FRG);WAAR;ONWAAR;Facility/Infrastructure Attack;Military;Red Army Faction (RAF);Incendiary;0;1
1985;West Germany (FRG);WAAR;ONWAAR;Facility/Infrastructure Attack;Government (Diplomatic);Red Army Faction (RAF);Incendiary;0;1
1985;West Germany (FRG);WAAR;ONWAAR;Facility/Infrastructure Attack;Educational Institution;Red Army Faction (RAF);Incendiary;0;1
1985;Netherlands;WAAR;ONWAAR;Bombing/Explosion;Utilities;Unknown;Explosives/Bombs/Dynamite;0;1
1985;West Germany (FRG);WAAR;ONWAAR;Unknown;Utilities;Red Army Faction (RAF);Unknown;0;1
1985;Belgium;WAAR;ONWAAR;Bombing/Explosion;Military;Communist Combattant Cells (CCC) (Belgium);Explosives/Bombs/Dynamite;0;1
1985;Belgium;WAAR;ONWAAR;Bombing/Explosion;Military;Communist Combattant Cells (CCC) (Belgium);Explosives/Bombs/Dynamite;0;1
1985;Spain;WAAR;ONWAAR;Hostage Taking (Kidnapping);Business;Basque Fatherland and Freedom (ETA);Unknown;0;1
1985;West Germany (FRG);WAAR;ONWAAR;Bombing/Explosion;Business;Red Army Faction (RAF);Explosives/Bombs/Dynamite;1;1
1985;West Germany (FRG);WAAR;ONWAAR;Facility/Infrastructure Attack;Business;Unknown;Incendiary;0;1
1985;Spain;WAAR;ONWAAR;Assassination;Business;Basque Fatherland and Freedom (ETA);Firearms;1;1
1985;Spain;ONWAAR;ONWAAR;Assassination;Business;Basque Fatherland and Freedom (ETA);Firearms;0;1
1985;West Germany (FRG);WAAR;ONWAAR;Bombing/Explosion;Utilities;Gruppe Haw Weg Den Scheiss;Explosives/Bombs/Dynamite;0;1
