iyear;country_txt;success;suicide;attack_type;targtype;group_terror;weapon_type;nkill;month
1995;Denmark;WAAR;ONWAAR;Unknown;Business;Anarchists;Unknown;0;1
1995;Denmark;WAAR;ONWAAR;Unknown;Business;Anarchists;Unknown;0;1
1995;Denmark;WAAR;ONWAAR;Unknown;Business;Anarchists;Unknown;0;1
1995;Denmark;WAAR;ONWAAR;Unknown;Business;Anarchists;Unknown;0;1
1995;Italy;WAAR;ONWAAR;Armed Assault;Journalists & Media;Unknown;Melee;0;1
1995;France;WAAR;ONWAAR;Assassination;Religious Figures/Institutions;Unknown;Firearms;1;1
1995;United Kingdom;ONWAAR;ONWAAR;Facility/Infrastructure Attack;Business;Unknown;Incendiary;0;1
1995;Spain;WAAR;ONWAAR;Assassination;Police;Basque Fatherland and Freedom (ETA);Firearms;1;1
1995;France;WAAR;ONWAAR;Bombing/Explosion;Business;Corsican National Liberation Front (FLNC);Explosives/Bombs/Dynamite;0;1
1995;France;WAAR;ONWAAR;Bombing/Explosion;Government (General);Corsican National Liberation Front (FLNC);Explosives/Bombs/Dynamite;0;1
1995;France;WAAR;ONWAAR;Bombing/Explosion;Government (General);Corsican National Liberation Front (FLNC);Explosives/Bombs/Dynamite;0;1
1995;United Kingdom;ONWAAR;ONWAAR;Facility/Infrastructure Attack;Business;Unknown;Incendiary;0;1
1995;Belgium;ONWAAR;ONWAAR;Assassination;Government (General);Armed Islamic Group (GIA);Explosives/Bombs/Dynamite;0;1
1995;Germany;WAAR;ONWAAR;Bombing/Explosion;Government (General);Anti-Imperialist Cell (AIZ);Explosives/Bombs/Dynamite;0;1
1995;Spain;WAAR;ONWAAR;Assassination;Government (General);Unknown;Firearms;1;1
1995;France;WAAR;ONWAAR;Bombing/Explosion;Government (General);Unknown;Explosives/Bombs/Dynamite;0;1
1995;Greece;WAAR;ONWAAR;Bombing/Explosion;Educational Institution;Revolutionary People's Struggle (ELA);Explosives/Bombs/Dynamite;0;1
1995;United Kingdom;WAAR;ONWAAR;Assassination;Journalists & Media;Unknown;Firearms;1;1
1995;Greece;WAAR;ONWAAR;Armed Assault;Private Citizens & Property;Revolutionary Popular Left;Incendiary;0;1
1995;France;WAAR;ONWAAR;Bombing/Explosion;Tourists;Corsican National Liberation Front (FLNC);Explosives/Bombs/Dynamite;0;2
1995;France;WAAR;ONWAAR;Bombing/Explosion;Tourists;Corsican National Liberation Front (FLNC);Explosives/Bombs/Dynamite;0;2
1995;France;WAAR;ONWAAR;Bombing/Explosion;Tourists;Corsican National Liberation Front (FLNC);Explosives/Bombs/Dynamite;0;2
1995;Austria;WAAR;ONWAAR;Bombing/Explosion;Private Citizens & Property;Neo-Nazi Group;Explosives/Bombs/Dynamite;4;2
1995;Austria;WAAR;ONWAAR;Bombing/Explosion;Tourists;Neo-Nazi Group;Explosives/Bombs/Dynamite;0;2
1995;Germany;WAAR;ONWAAR;Armed Assault;Private Citizens & Property;Right-Wing Extremists;Melee;1;2
1995;Austria;WAAR;ONWAAR;Bombing/Explosion;Government (Diplomatic);Unknown;Explosives/Bombs/Dynamite;0;2
1995;Austria;WAAR;ONWAAR;Bombing/Explosion;Tourists;Neo-Nazi Group;Fake Weapons;0;2
1995;Netherlands;WAAR;ONWAAR;Bombing/Explosion;Business;Unknown;Explosives/Bombs/Dynamite;0;2
1995;Germany;WAAR;ONWAAR;Unknown;Business;Right-Wing Youths;Unknown;0;2
